"radioMode:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.197178958849,3
7.197336958849,2
7.197503597861,3
7.197753597861,2
7.198167597835,3
7.198201597835,2
7.198283597835,3
7.198533597835,2
7.199137597835,3
7.199387597835,2
7.199446236712,3
7.199604236712,2
7.199910236712,3
7.200068236712,2
7.200854875536,3
7.201012875536,2
7.2011705143,3
7.2014205143,2
7.2019705143,3
7.2022205143,2
7.2025095143,3
7.2027595143,2
7.202818152949,3
7.202976152949,2
7.203318152949,3
7.203476152949,2
7.203926152949,3
7.204084152949,2
7.204687152949,3
7.204845152949,2
7.207299285773,3
7.207457285773,2
7.213058968555,3
7.213216968555,2
7.222751967624,3
7.222909967624,2
7.223089967624,3
7.223259967624,2
7.223574967624,3
7.223744967624,2
7.22382160486,3
7.22407160486,2
7.22448660486,3
7.22473660486,2
7.224795242032,3
7.224953242032,2
7.225295242032,3
7.225453242032,2
7.225876242032,3
7.226034242032,2
7.226349242032,3
7.226507242032,2
7.226633242032,3
7.226791242032,2
7.232267878969,3
7.232425878969,2
7.236863975656,3
7.237021975656,2
7.237210975656,3
7.237460975656,2
7.237866975656,3
7.238116975656,2
7.238540975656,3
7.238790975656,2
7.239502975656,3
7.239752975656,2
7.242034611836,3
7.242284611836,2
7.245642611836,3
7.245892611836,2
7.248566611836,3
7.248816611836,2
7.250425624461,3
7.250459624461,2
7.250901259888,3
7.250935259888,2
7.251136895292,3
7.251170895292,2
7.252215895292,3
7.252373895292,2
7.252558530608,3
7.252808530608,2
7.253097530608,3
7.253347530608,2
7.253406165861,3
7.253564165861,2
7.253730801097,3
7.253980801097,2
7.254332801097,3
7.254582801097,2
7.255366801097,3
7.255616801097,2
7.256436801097,3
7.256686801097,2
7.256745436127,3
7.256903436127,2
7.257056436127,3
7.257214436127,2
7.257592436127,3
7.257750436127,2
7.258047436127,3
7.258205436127,2
7.26058598932,3
7.26074398932,2
7.26395698932,3
7.26411498932,2
7.26508698932,3
7.26524498932,2
7.265607532511,3
7.265777532511,2
7.266370532486,3
7.266540532486,2
7.26688253996,3
7.26705253996,2
7.269646174235,3
