"datarateSelected:vector manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.308422842913,54000000
7.309480842913,54000000
7.311312842913,54000000
7.311637474285,54000000
7.312140474285,54000000
7.312688474285,54000000
7.313002474285,54000000
7.314990474285,54000000
7.321047699128,24000000
7.321397329848,24000000
7.321651960551,54000000
7.328737952755,54000000
7.329015952755,54000000
7.329314582948,54000000
7.329590582948,54000000
7.329843213106,54000000
7.330598213106,54000000
7.330896843195,54000000
7.331352843195,54000000
7.331677473236,54000000
7.332432473236,54000000
7.334060473179,54000000
7.336082473115,54000000
7.338236528626,54000000
7.340512528593,54000000
7.340811158024,54000000
7.341051158024,54000000
7.341839158024,54000000
7.342249158024,54000000
7.344711158024,54000000
7.345283158024,54000000
7.347484158024,54000000
7.347790786996,54000000
7.348816415929,54000000
7.34911504481,54000000
7.34948104481,54000000
7.34998104481,54000000
7.35036404481,54000000
7.35120604481,54000000
7.356411198148,54000000
7.360088198148,54000000
7.360390198148,54000000
7.360812198148,54000000
7.361479826259,54000000
7.362549826259,54000000
7.363142826259,54000000
7.363443454195,54000000
7.364036454195,54000000
7.364692454195,54000000
7.365843454195,54000000
7.366490454195,54000000
7.367182454195,54000000
7.375463123309,54000000
7.375761750428,54000000
7.37605137753,54000000
7.376350004611,54000000
7.376824004611,54000000
7.377103631643,54000000
7.377402258654,54000000
7.377979258645,54000000
7.37896725862,54000000
7.379228885511,54000000
7.379902885511,54000000
7.381111512348,54000000
7.381821512348,54000000
7.383080512348,54000000
7.383379138965,54000000
7.383745138965,54000000
7.384056138965,54000000
7.384344765521,54000000
7.384708392057,54000000
7.385319392057,54000000
7.385903392057,54000000
7.386883392057,54000000
7.389465392057,54000000
7.390067392057,54000000
7.398285017973,54000000
7.398583643588,54000000
7.398837269186,54000000
7.399583269186,54000000
7.400320269186,54000000
7.400618894667,54000000
7.401137894667,54000000
7.401538894667,54000000
7.401818520071,54000000
7.402528520071,54000000
7.403829865612,54000000
7.405956519986,54000000
7.406255145096,54000000
7.406594145096,54000000
7.406900770168,54000000
7.407484770168,54000000
7.407783395178,54000000
7.408122395178,54000000
7.408505395178,54000000
7.408875020124,54000000
7.409180020124,54000000
7.409971020124,54000000
7.410816020124,54000000
7.411931020124,54000000
7.415538988324,54000000
7.418048988324,54000000
7.418290988324,54000000
7.418892988324,54000000
7.419191612584,54000000
7.419638612584,54000000
7.420309612584,54000000
7.421610612584,54000000
7.423667612584,54000000
7.426192612584,54000000
7.428417236311,54000000
7.428710236311,54000000
7.429411236311,54000000
7.429709859881,54000000
7.430102859881,54000000
7.430737859881,54000000
7.431183859881,54000000
7.431445483338,54000000
7.432101483338,54000000
7.433171483338,54000000
7.434357483261,54000000
7.435886483261,54000000
7.437757483261,54000000
7.438056106284,54000000
7.438467106284,54000000
7.439111106284,54000000
7.440313106284,54000000
7.442352106284,54000000
7.446049728988,54000000
7.446311351471,54000000
