"packetErrorRate:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0.119454887941,0.000000356140207768
0.119520662739,0.000000000000095923
0.12313475236,0
0.12368170656,0
0.12476629614,0.00000003993801223
0.124892475733,0
0.125689275915,0
0.126105432809,0.00000000150107926
0.126162322841,0
0.127574418099,0
0.128221266487,1
0.128294903596,0
0.128574619253,0.000000751449305669
0.129770338003,1
0.130505458661,0
0.132942333082,0.000000031701680835
0.13325599977,0
0.135375558622,0
0.136093292277,0.000000000001438849
0.137097117805,1
0.137304476502,0
0.137481773372,0.000000000798561217
0.137714318754,0
0.138325508766,0
0.139096950712,0.000000007685372338
0.140489421447,0
0.141743804149,0
0.14296885605,0
3.117741033686,0
3.12678711874,0
3.129343447875,0
3.129499015616,0
3.129861015587,0.000000067756838251
3.130128734472,0
3.130259668889,0
3.130589362552,0
3.131104774348,0
3.131755942268,0
3.133378327727,0
3.134063389841,1
3.134727306934,0.000000000052757798
3.1349830252,0.000000000053621107
3.135589774519,0.000000000001438849
3.137011044103,0
3.137230764654,0
3.137519307501,0
3.138595365371,1
3.139297535762,0
3.14414651438,0.000000000011510792
3.144545944831,0
3.144827048948,0
3.146811332329,0.000000032847124575
3.147477586828,0
3.147984762833,1
3.148197762798,0
3.148714765687,1
3.148906482151,0.000000000440575576
3.149035005954,1
3.150330428586,0
3.154025478335,0
3.155073721587,0
3.157465817145,0
3.161836813182,0
3.162398816529,0
3.164735530881,0.00000000305697867
3.164904534355,0
3.165879534275,0
3.166335534238,0.000000002124892262
3.166382323066,0
3.168501534062,0
3.170214251367,0
3.170766247608,0
3.173673250917,0
3.176212680625,0.000000000063884897
3.177575684378,0
3.177968684346,0.00000007794954826
3.183318627551,0
3.183365416122,0
3.183436571181,0
7.118606977526,0
7.120417323162,0.000000022919426245
7.123585588296,0.000000001345251909
7.124288990274,0
7.124811990204,0
7.124856158837,0
7.125759990075,0
7.126179982485,0.000000042464391225
7.127056971284,0
7.129918425027,0
7.130263111234,0.000000000362230245
7.130308933793,0
7.13035833456,0
7.132804334228,0
7.13284850287,0
7.133181903083,0
7.134228071589,0
7.13848883964,0
7.13868040737,0.00000000148844137
7.13904640732,0.00000000032450842
7.139169407303,0.00000000001467626
7.139360974896,0
7.14031934558,0
7.140402345577,0
7.140494345574,0.000000196244722583
7.140851345562,0
7.140997345557,0.000000000000119904
7.141570555568,1
7.141865518177,1
7.142408518159,0
7.142741965934,0.00000031804371714
7.143112793543,0
7.143701436188,0
7.143862307592,0.000000020966044678
