"powerConsumption:vector manet.host[1].energyStorage ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-13:24:00-21284)",
0,0
0,0
0,0
0,0
0,0.004
0.110178688617,0
0.110178688617,0.019999999999999996
0.110220688617,0.004
0.110220688617,0.004
0.110365688617,0
0.110365688617,0
0.110365688617,0.004
0.110365688617,0
0.110365688617,0.20000000000000001
0.110403688617,0.004
0.110403688617,0.004
0.110403688617,0
0.110403688617,0.004
0.110403688617,0.004
0.114148673773,0
0.114148673773,0.019999999999999996
0.114190673773,0.004
0.114190673773,0.004
0.11947756907,0
0.11947756907,0.019999999999999996
0.11951956907,0.004
0.11951956907,0.004
0.12201964303,0
0.12201964303,0.019999999999999996
0.12206564303,0.004
0.12206564303,0.004
0.123089565182,0
0.123089565182,0.019999999999999996
0.123135565182,0.004
0.123135565182,0.004
0.124720786461,0
0.124720786461,0.019999999999999996
0.124766786461,0.004
0.124766786461,0.004
0.124845382278,0
0.124845382278,0.019999999999999996
0.124891382278,0.004
0.124891382278,0.004
0.125736088881,0
0.125736088881,0.019999999999999996
0.125782088881,0.004
0.125782088881,0.004
0.126115229436,0
0.126115229436,0.019999999999999996
0.126161229436,0.004
0.126161229436,0.004
0.126461565862,0
0.126461565862,0.019999999999999996
0.126507565862,0.004
0.126507565862,0.004
0.127185488619,0
0.127185488619,0.019999999999999996
0.127231488619,0.004
0.127231488619,0.004
0.128677780004,0
0.128677780004,0.019999999999999996
0.128723780004,0.004
0.128723780004,0.004
0.12972950117,0
0.12972950117,0.019999999999999996
0.12977550117,0.004
0.12977550117,0.004
0.130459949531,0
0.130459949531,0.019999999999999996
0.130505949531,0.004
0.130505949531,0.004
0.131488049922,0
0.131488049922,0.019999999999999996
0.131534049922,0.004
0.131534049922,0.004
0.132055927375,0
0.132055927375,0.019999999999999996
0.132101927375,0.004
0.132101927375,0.004
0.132211114721,0
0.132211114721,0.019999999999999996
0.132257114721,0.004
0.132257114721,0.004
0.132663631607,0
0.132663631607,0.019999999999999996
0.132709631607,0.004
0.132709631607,0.004
0.132897146457,0
0.132897146457,0.019999999999999996
0.132943146457,0.004
0.132943146457,0.004
0.133757172663,0
0.133757172663,0.019999999999999996
0.133803172663,0.004
0.133803172663,0.004
0.135329605339,0
0.135329605339,0.019999999999999996
0.135375605339,0.004
0.135375605339,0.004
0.137050024836,0
0.137050024836,0.019999999999999996
0.137096024836,0.004
0.137096024836,0.004
0.137258968023,0
0.137258968023,0.019999999999999996
0.137304968023,0.004
0.137304968023,0.004
0.138280000384,0
0.138280000384,0.019999999999999996
0.138326000384,0.004
0.138326000384,0.004
0.139049857823,0
0.139049857823,0.019999999999999996
