"radioMode:vector manet.host[1].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-13:24:00-21284)",
7.138441902914,3
7.138483902914,2
7.13863347067,3
7.13867547067,2
7.13899947067,3
7.13904147067,2
7.13912247067,3
7.13916447067,2
7.139314038289,3
7.139356038289,2
7.139518038289,3
7.139560038289,2
7.140127038289,3
7.140169038289,2
7.141203450576,3
7.141245450576,2
7.143931372197,3
7.143973372197,2
7.14828593398,3
7.14832793398,2
7.161214790775,3
7.161256790775,2
7.161463790775,3
7.161505790775,2
7.161730790775,3
7.161772790775,2
7.161916790775,3
7.161958790775,2
7.163234552292,3
7.163276552292,2
7.164164955875,3
7.164206955875,2
7.164827955875,3
7.164869955875,2
7.165427955875,3
7.165469955875,2
7.165628518178,3
7.165670518178,2
7.165751518178,3
7.165793518178,2
7.166090518178,3
7.166132518178,2
7.166735518178,3
7.166777518178,2
7.166901744485,3
7.166943744485,2
7.168068744485,3
7.168110744485,2
7.168740744485,3
7.168782744485,2
7.168878306119,3
7.168920306119,2
7.169123867725,3
7.169165867725,2
7.169309867725,3
7.169351867725,2
7.170010508579,3
7.170052508579,2
7.171026710675,3
7.171068710675,2
7.173000271759,3
7.173042271759,2
7.178079743403,3
7.178121743403,2
7.179858743403,3
7.179900743403,2
7.180017743403,3
7.180059743403,2
7.180284743403,3
7.180326743403,2
7.180749743403,3
7.180791743403,2
7.180881743403,3
7.180923743403,2
7.181310743403,3
7.181352743403,2
7.184223302323,3
7.184265302323,2
7.184369860831,3
7.184411860831,2
7.184852860799,3
7.184894860799,2
7.185299860799,3
7.185341860799,2
7.186502860799,3
7.186544860799,2
7.188587860799,3
7.188629860799,2
7.192553860799,3
7.192595860799,2
7.204647080787,3
7.204689080787,2
7.204811635173,3
7.204853635173,2
7.205150635173,3
7.205192635173,2
7.205297189458,3
7.205339189458,2
7.205447189458,3
7.205489189458,2
7.205597189458,3
7.205639189458,2
7.206278189458,3
7.206320189458,2
7.206406743516,3
7.206448743516,2
7.206754743516,3
7.206796743516,2
7.207201743516,3
7.207243743516,2
7.207902381835,3
7.207936381835,2
7.20847593553,3
7.20850993553,2
7.20856493553,3
7.20860693553,2
7.209807489033,3
7.209841489033,2
7.21073348894,3
7.21076748894,2
7.21115648894,3
7.21119848894,2
7.21154048894,3
7.21158248894,2
7.212283041932,3
7.212317041932,2
7.212895041932,3
7.212937041932,2
7.213117041932,3
7.213159041932,2
7.213438041932,3
7.213480041932,2
7.213975041932,3
7.214017041932,2
7.214737041932,3
7.214779041932,2
7.216381041932,3
7.216423041932,2
7.219771041932,3
7.219813041932,2
7.226086041932,3
7.226128041932,2
7.23007333521,3
7.23010733521,2
7.231131335103,3
7.231165335103,2
7.232873334928,3
7.232907334928,2
7.234024334928,3
7.234066334928,2
7.234197883391,3
7.234239883391,2
7.234536883391,3
7.234578883391,2
7.234947883391,3
7.234989883391,2
7.235790883391,3
7.235832883391,2
7.237560883391,3
7.237602883391,2
7.238277883391,3
7.238319883391,2
7.248499534029,3
7.248541534029,2
7.248640534029,3
7.248682534029,2
7.248997534029,3
7.249039534029,2
7.249156534029,3
7.249198534029,2
7.249477534029,3
7.249519534029,2
7.250831714752,3
7.250873714752,2
7.252952714752,3
7.252994714752,2
7.254037255747,3
7.254079255747,2
7.258808356706,3
7.258850356706,2
7.259062900177,3
7.259104900177,2
7.259299443597,3
7.259341443597,2
7.266806620625,3
7.266840620625,2
7.275733627182,3
7.275767627182,2
7.277943260647,3
7.277977260647,2
7.28177879867,3
7.28181279867,2
7.283027798544,3
7.283061798544,2
7.292569696118,3
7.292603696118,2
7.295693232513,3
7.295727232513,2
7.301104864246,3
7.301138864246,2
7.317079555747,3
7.317113555747,2
7.320320087203,3
7.320354087203,2
7.320893618267,3
7.320927618267,2
7.321899872496,3
7.321941872496,2
7.323218041175,3
7.323252041175,2
7.323874041109,3
7.323908041109,2
7.325781040918,3
7.325815040918,2
7.335434922278,3
7.335468922278,2
7.336783922143,3
7.336817922143,2
7.337001449935,3
7.337035449935,2
7.339899977424,3
7.339933977424,2
7.346975606215,3
7.347009606215,2
7.347422606161,3
7.347456606161,2
7.348700864194,3
7.348734864194,2
7.352463121567,3
7.352497121567,2
7.353563646123,3
7.353597646123,2
7.357129274215,3
7.357163274215,2
7.361256273679,3
7.361290273679,2
7.368570528781,3
7.368604528781,2
7.369536050128,3
7.369570050128,2
7.374626049618,3
7.374660049618,2
7.375082569792,3
7.375116569792,2
7.376781450977,3
7.376815450977,2
7.377827704952,3
7.377861704952,2
7.397089463015,3
7.397123463015,2
7.403302964625,3
7.403336964625,2
7.413969088764,3
7.414003088764,2
7.445447170751,3
7.445481170751,2
7.448949415338,3
7.448983415338,2
7.509165261089,3
7.509199261089,2
7.517081878408,3
7.517115878408,2
7.517587370087,3
7.517621370087,2
7.518279370018,3
7.518313370018,2
7.522137369634,3
7.522171369634,2
7.522354860324,3
7.522388860324,2
7.526145094842,3
7.526179094842,2
7.53820571092,3
7.53823971092,2
7.541638198085,3
7.541672198085,2
7.552721124058,3
7.552755124058,2
7.558827454159,3
7.558861454159,2
7.5699240681,3
7.5699580681,2
7.581779776235,3
7.581813776235,2
7.582233255024,3
7.582267255024,2
7.587224177864,3
7.587258177864,2
7.605076241208,3
7.605110241208,2
7.606203715292,3
7.606237715292,2
7.621621548101,3
7.621655548101,2
7.664592086742,3
7.664626086742,2
7.665039549058,3
7.665073549058,2
7.665836548979,3
7.665870548979,2
7.667198010958,3
7.667232010958,2
7.670402472492,3
7.670436472492,2
7.670619933678,3
7.670653933678,2
7.672142080345,3
7.672176080345,2
7.675481540885,3
7.675515540885,2
7.679812148123,3
7.679846148123,2
7.683054362231,3
7.683088362231,2
7.692924361252,3
7.692958361252,2
7.693988817895,3
7.694022817895,2
7.697632423908,3
7.697666423908,2
7.698740485857,3
7.698774485857,2
7.711773301929,3
7.711807301929,2
7.713538754766,3
7.713572754766,2
7.719426754174,3
7.719460754174,2
7.719701754146,3
7.719735754146,2
7.723151640996,3
7.723185640996,2
7.723551091714,3
7.723585091714,2
7.724315091638,3
7.724349091638,2
7.726212091451,3
7.726246091451,2
7.733362299191,3
7.733396299191,2
7.733709299157,3
7.733743299157,2
7.738179506511,3
7.738213506511,2
7.761334570404,3
7.761368570404,2
