"datarateSelected:vector manet.host[1].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0.110365688617,54000000
1.110220688617,54000000
2.110220688617,54000000
3.129379474219,54000000
3.130079195515,24000000
3.130367401166,54000000
3.130589401166,54000000
3.131225401166,54000000
3.131663401166,54000000
3.132506401166,54000000
3.132672122187,54000000
3.132974843182,24000000
3.133182564153,54000000
3.134014087452,54000000
3.134935487032,54000000
3.136444506266,54000000
3.136963506266,54000000
3.137183226853,54000000
3.137477226853,54000000
3.137704439128,54000000
3.138556439128,54000000
3.139956261624,54000000
3.140821356832,54000000
3.147937226783,54000000
3.148150226783,54000000
3.148453226783,54000000
3.148699946251,54000000
3.148858946251,54000000
3.149555946227,54000000
3.150434946227,54000000
3.152528946227,54000000
3.157373279387,54000000
3.161042279387,54000000
3.161237279387,54000000
3.161621279387,54000000
3.161789279387,54000000
3.161963997558,54000000
3.162221997558,54000000
3.162704997558,54000000
3.163826997558,54000000
3.164687997558,54000000
3.166587715372,54000000
3.170121715267,54000000
3.170361715267,54000000
3.170718715267,54000000
3.171282715267,54000000
3.172053715267,54000000
3.173580715267,54000000
3.173710432293,54000000
3.174004432293,54000000
3.174604432293,54000000
3.175114432293,54000000
3.17528914917,54000000
3.17549314917,54000000
3.17616514917,54000000
3.176357865945,54000000
7.123467480901,54000000
7.124240051617,24000000
7.124366051617,54000000
7.124543051617,54000000
7.124765051617,54000000
7.125176051617,54000000
7.125713051617,54000000
7.125899051617,54000000
7.130309396729,24000000
7.132757396729,54000000
7.132930965635,54000000
7.133134965635,54000000
7.133392965635,54000000
7.134136965635,54000000
7.134583965635,54000000
7.138441902914,54000000
7.13863347067,54000000
7.13899947067,54000000
7.13912247067,54000000
7.139314038289,54000000
7.139518038289,54000000
7.140127038289,54000000
7.141203450576,54000000
7.143931372197,54000000
7.14828593398,54000000
7.161214790775,54000000
7.161463790775,54000000
7.161730790775,54000000
7.161916790775,54000000
7.163234552292,54000000
7.164164955875,54000000
7.164827955875,54000000
7.165427955875,54000000
7.165628518178,54000000
7.165751518178,54000000
7.166090518178,54000000
7.166735518178,54000000
7.166901744485,54000000
7.168068744485,54000000
7.168740744485,54000000
7.168878306119,54000000
7.169123867725,54000000
7.169309867725,54000000
7.170010508579,54000000
7.171026710675,54000000
7.173000271759,54000000
7.178079743403,54000000
7.179858743403,54000000
7.180017743403,54000000
7.180284743403,54000000
7.180749743403,54000000
7.180881743403,54000000
7.181310743403,54000000
7.184223302323,54000000
7.184369860831,54000000
7.184852860799,54000000
7.185299860799,54000000
7.186502860799,54000000
7.188587860799,54000000
