"packetReceivedFromPeerWithoutRetry:vector(packetBytes) manet.host[1].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
8.028889853233,14
8.029100228147,14
8.030111603018,14
8.030681808824,116
8.031874276958,116
8.033806661596,116
8.034247610867,122
8.034411156762,116
8.034819088693,122
8.03670865511,122
8.036929793141,122
8.037283060025,122
8.037396980791,122
8.038410665129,122
8.046193690225,14
8.046527064401,14
8.059541313407,1500
8.067860686684,14
8.077032449234,864
8.090943826331,1500
8.118584949067,944
8.139969688854,1500
8.140187057647,864
8.153202422664,864
8.153646788864,1500
8.171189513258,944
8.171579875958,1500
8.17179723859,864
8.172241601167,1500
8.192216760694,1500
8.20505511565,1500
8.223082884775,864
8.236816586018,864
8.253183933815,864
8.254777280227,1500
8.254994626681,864
8.266973315985,864
8.302431333199,1500
8.305001006867,1500
8.31623300577,864
8.318690339709,1500
8.31890767377,864
8.335220671713,864
8.337804001931,1500
8.343784990588,1500
8.369085317232,864
8.36943064154,1500
8.369647965784,864
8.390764931119,1500
8.408350929413,864
8.421724875572,1500
8.484756183671,864
8.601146172511,1500
8.615061450684,1500
8.622219688478,128
8.623191108197,864
8.629288337357,128
8.63186193805,134
8.635774682016,140
8.638458718843,140
8.645301273784,864
8.659711083114,864
8.665005082609,944
8.67345934772,98
8.673632347704,116
8.673742347694,116
8.673843347684,110
8.674080759322,104
8.674339086955,122
8.674600881708,122
8.674728881695,122
8.67530884426,140
8.676011258603,104
8.680938533701,110
8.681454309704,122
8.681945710024,122
8.682426496286,122
8.682748221121,110
8.682902065578,110
8.68573940045,116
8.688316441979,116
8.689272348407,122
8.689471671083,122
8.690157847286,122
8.693625275648,122
8.694298966312,122
8.694653966269,116
8.697064438762,122
8.69801378675,122
8.698099623629,122
8.699949670177,122
8.701488583137,122
9.622363227385,64
9.623073766132,64
9.625569408292,14
9.632567483433,86
9.645674117205,14
9.64610365024,14
9.647016292835,92
9.647349825562,14
9.648343358044,14
9.648460890497,14
9.648755422877,14
9.648908955219,14
9.649329487458,14
9.649465019663,14
9.649627551828,14
9.649763083959,14
9.665143951184,14
9.668908441124,104
9.672653525707,110
9.676226333424,110
9.676575738811,116
9.680321841218,116
9.68128361171,122
9.682761644736,116
9.687316964607,122
9.688900430849,122
9.68921228555,122
9.692868461304,122
9.711528005621,864
9.72956832909,864
9.73090035354,864
9.736915184605,944
9.789885750248,864
9.817485064644,864
9.847427425849,1500
9.847642909234,864
9.872931953117,944
9.893541833033,864
9.930448701596,864
10.022604674352,64
10.041004865684,944
10.079071256907,864
10.139392629314,1500
10.15005203018,1500
10.150267439364,864
10.179083239069,944
10.200403601853,1500
10.200618998739,864
10.225397745755,864
10.332035875027,1500
10.345710269789,864
10.387742188036,1500
10.387957539293,864
10.547399143687,864
10.562246793228,944
10.565661053912,1500
10.56715536154,864
10.611398079325,1500
10.611613376374,864
10.641327444941,1500
10.641542734759,864
10.675440661832,944
10.677885224227,864
10.681035067637,1500
10.691409960661,1500
10.691625238391,864
10.744960881148,1500
10.7459221457,864
10.761698739808,1500
10.77536761444,864
10.776468871633,944
10.797429761131,1500
10.880851949983,86
10.933163303779,1500
11.014465533474,1500
11.015300733388,864
11.040062859867,1500
11.040970053637,864
11.065457996619,864
11.07449374641,944
11.167900804549,864
11.24811969478,1500
11.31696403625,864
11.333312896121,1500
11.349946856499,1500
11.350161976796,864
11.367576338608,864
11.412281056674,864
11.473606844817,1500
11.473821935886,864
11.480203119691,864
11.524138245382,864
11.528018892672,1500
11.528233970916,864
11.553127498757,864
11.55343557108,944
11.634971037422,944
11.660001068425,1500
11.660216115652,864
11.713645469311,1500
11.71386050397,864
11.793039796153,864
11.866645107109,864
12.647740781546,92
12.651522065421,104
12.65456065853,104
12.656600233063,116
12.659113130237,104
12.659306492309,122
12.659545092809,116
12.659598492287,110
12.659917963802,122
12.660254397299,122
12.66087890091,116
12.66427224824,116
12.664346248234,128
12.664402661688,128
12.666595613105,122
12.66746796807,122
12.667753388722,122
12.667892551612,128
12.668131383002,116
12.668516198023,110
12.668942525763,128
12.671540649604,122
12.671713649606,122
12.671788137595,128
12.672058190127,122
12.672641936207,122
12.673280921445,122
12.673455424239,128
12.675404677317,128
12.675504076072,128
12.675590965554,128
12.678484278185,128
12.679027724292,128
12.681737365981,128
12.70487410265,864
12.733141830238,864
12.733413630649,944
12.748917764017,864
12.801296635873,1500
12.801511420972,864
12.811672684535,1500
12.813226466856,864
12.831543511591,944
12.850233292915,864
12.86053096403,1500
12.862507735263,864
12.890000397823,864
12.946307419424,1500
12.94652217209,864
12.955381852456,1500
12.955596603099,864
12.972333184891,1500
12.97254793176,864
13.005737596106,1500
13.009297334427,864
13.035930999202,1500
13.036145731933,864
13.072201326825,1500
13.072416051512,864
13.09271232438,944
13.126298316117,1500
13.128113028303,864
13.170947749287,864
13.171192452146,944
13.177194484012,864
13.204973805589,864
13.230398463441,1500
13.230613153214,864
13.232241453461,944
13.248697732758,1500
13.26187541424,864
13.315677694086,864
13.393589960258,944
13.408656852398,864
13.410058760436,1500
13.410273410898,864
13.419467642827,864
13.443376222658,1500
13.443590865871,864
13.445865443622,944
13.46686073305,864
13.476301629791,864
13.51014249944,864
13.513645063666,944
13.549239679944,864
13.600736472715,864
13.601124081862,1500
13.602750299583,944
13.640899192039,1500
13.642542792091,864
13.703033509314,1500
13.705567095747,864
13.813841696307,864
13.822591661761,1500
13.82280622342,864
13.838408807482,944
13.87079309217,864
13.892315222198,864
13.89272076905,1500
13.892935315827,864
13.910255935942,944
13.915404119565,1500
13.915618661542,864
13.940623437759,1500
13.942239973964,864
14.004221287786,1500
14.004435811035,864
14.114271976278,864
14.114614476468,1500
14.115475976387,864
14.131672419676,864
14.220039550231,1500
14.269115126385,864
14.302085226194,1500
14.327174223487,944
14.363546536043,1500
14.382485005641,864
14.382818450358,1500
14.38303289501,864
14.391155876198,1500
14.391370319143,864
14.419686632313,944
14.488873867179,864
14.512378489925,864
14.513720907873,1500
14.513935325838,864
14.555409154966,864
14.599393901955,864
14.600076815645,944
14.631848147243,64
14.638567330309,98
14.6427668395,104
14.64367257821,110
14.645616839104,110
14.648139472321,122
14.648773117534,92
14.648983554039,110
14.650834368621,116
14.653565821332,110
14.653740069183,116
14.654575917819,116
14.656011524429,116
14.657115167154,116
14.657243231252,122
14.657981317898,122
14.660483333942,122
14.661073048088,122
14.661785432762,122
14.662650636783,122
14.664096482942,122
14.666978038111,116
14.671532318371,122
14.6752597634,122
14.684535025274,122
15.696139293617,64
15.771093134087,98
15.778605038163,92
15.778944645489,122
15.782815882596,110
15.78291136028,98
15.78465739575,122
15.784982275849,116
15.788684781106,116
15.789378286999,122
15.789962521782,122
15.79021663318,122
15.790312693009,116
15.79112372668,110
15.791185018446,110
15.791269726672,116
15.791869910023,122
15.792180656594,110
15.792708671524,122
15.792810966443,116
15.793237870924,122
15.794309747484,122
15.795267427381,110
15.795676297397,122
15.796084369136,128
15.798857490043,122
15.799246722391,116
15.799321661722,122
15.799503661713,122
15.799730106148,116
15.799977993028,122
15.800224858225,116
15.800604682817,116
15.801309154964,122
15.803030235055,122
15.803534921388,128
15.803746789918,128
15.804715696273,128
15.805459565984,122
15.805596565972,116
15.805881830412,122
15.80650471403,128
15.807339079344,128
15.808829195688,128
15.809038635871,128
15.809895845216,128
15.810856427168,128
15.811118771452,122
15.811277291911,128
15.811847751553,122
15.812159180035,128
15.812341681686,128
15.813072849863,116
15.81397394607,128
15.814233440123,128
15.814859564001,128
15.817236704184,128
15.81768515418,128
15.82037045583,122
15.823037290756,128
15.825391199138,128
15.826824085001,128
15.830103141602,128
18.948021801465,64
19.780384822505,92
19.781326051156,98
19.783841306085,104
19.789546363796,116
19.790987046542,104
19.791847307988,116
19.793341997751,122
19.793799407891,116
19.794856175625,116
19.795406054431,116
19.795735954747,122
19.798351221845,122
19.798893492711,116
19.798972329192,122
19.799700012575,134
19.799775461672,122
19.800226904505,140
19.800293151124,134
19.801122818366,122
19.801180801118,134
19.801250818363,128
19.801308801124,122
