"packetSentToPeerWithoutRetry:vector(packetBytes) manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.455659462046,1500
7.455876083913,864
7.457148705701,1500
7.459190327352,864
7.464224570202,1500
7.467416191315,864
7.468180812381,944
7.471662433223,1500
7.472598053998,864
7.483591674724,1500
7.485255294674,864
7.486090914579,1500
7.486999534415,864
7.487452154234,1500
7.489061773936,864
7.489371393621,944
7.489788013286,1500
7.490004632927,864
7.493024252383,1500
7.494597871724,864
7.495023491048,1500
7.495797110311,864
7.496587729535,1500
7.498260348638,864
7.499155967682,944
7.50294358649,1500
7.504337205198,864
7.512096823565,1500
7.523554041191,864
7.525146658558,1500
7.544862762804,864
7.545270378867,1500
7.545486994906,864
7.548544226659,944
7.549256842459,1500
7.549473458241,864
7.550854073946,1500
7.55482778954,864
7.557302404825,1500
7.577056115902,864
7.578765343761,1500
7.583810745755,864
7.588908358961,944
7.589288972183,1500
7.592869585119,864
7.597487197812,1500
7.616257284254,864
7.617385895674,1500
7.618806506991,864
7.619160118292,1500
7.62511472911,864
7.625879339979,944
7.626771950795,1500
7.631709561286,864
7.63438278208,1500
7.636235392281,864
7.636891002447,1500
7.637107612592,864
7.638416222661,1500
7.643497832397,864
7.643834442117,944
7.65146744211,1500
7.654570051139,864
7.671216045924,1500
7.681336721937,864
7.698242454934,1500
7.700502667241,864
7.708378667241,1500
7.710384272719,864
7.728969668598,944
7.729332272883,1500
7.735120480728,864
7.746646532114,1500
7.746863135284,864
7.748153738382,1500
7.748370341458,864
7.748813944517,1500
7.751709547382,864
7.752321150215,944
7.762901423988,1500
7.763118026134,864
7.782457390189,1500
7.782673991105,864
7.784220861541,1500
7.78595646225,864
7.786346062943,1500
7.788117663517,864
7.788445264074,944
7.789229864588,1500
7.805806064968,864
7.820120530946,1500
7.82817412894,864
7.828617726988,1500
7.828834325011,864
7.829507922997,1500
7.831189520873,864
7.831535118732,944
7.834206716429,1500
7.834423314103,864
