"packetErrorRate:vector manet.host[1].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0.110220688617,0.000000000000383693
0.114190673773,0.000000003641535073
0.11951956907,0
0.12206564303,0
0.123135565182,0
0.124766786461,0.000001280376869527
0.124891382278,0
0.125782088881,0.000000253315336928
0.126161229436,0.000000275271928029
0.126507565862,0.000000000254436471
0.127231488619,0
0.128723780004,0
0.12977550117,1
0.130505949531,0
0.131534049922,0
0.132101927375,0
0.132257114721,0
0.132709631607,0
0.132943146457,0
0.133803172663,0.000000000000959232
0.135375605339,0
0.137096024836,0.000000000005395683
0.137304968023,0
0.138326000384,0.000000927093177005
0.139095857823,0
0.14008132021,0.000000053783456688
0.144621238806,0
3.129342474219,0.000000068117869234
3.130079195515,0
3.130258401166,0
3.132599122187,0
3.132974843182,0
3.133127564153,0.000000002806762822
3.13333220017,0
3.133378507781,0
3.133499143811,0
3.133671087452,0
3.134492008974,0.000000000000119904
3.134727487032,0
3.135588506266,0
3.137056226853,0
3.137667439128,0.000000000000119904
3.13907728029,1
3.139298261624,0.000000024125301645
3.140667356832,0
3.142050202927,0
3.142725083201,0
3.142788028376,0
3.144544972713,0
3.145452226783,0.000000000051199045
3.148545946251,0
3.149044946227,1
3.15382831659,0.000000000025659474
3.155563279387,0.000000123342569269
3.161881997558,0
3.164904715442,0.000000000002877698
3.165297715423,0.000000041095158609
3.166335715372,0.000000369293201685
3.168501715267,0.000000183247768958
3.173673432293,0
3.17520714917,0
3.176257865945,0
3.178244865849,0
3.183096809254,0
3.183482391577,0
7.123304480901,0
7.124240051617,0.000000350776586555
7.126180326891,0
7.126458252467,0
7.130309396729,0
7.132848965635,0
7.134708313101,0.009467068746928798
7.136617683029,0
7.138206902914,0
7.13853347067,0
7.139214038289,0
7.140319807843,0.000000000425395718
7.141130450576,0
7.141571017748,1
7.142024980321,0
7.14232945438,0.000000000045179859
7.143113255619,0.000000004259664621
7.143701898225,0
7.143750372197,0
7.144126788197,1
7.144455268932,0
7.145082911425,0.000000029949067004
7.145388021304,0
7.146067339799,0
7.146213868528,0
7.146713413588,0
7.146917350929,0.000000053140171263
7.147033804111,0
7.147413615132,0
7.14780840385,1
7.14803593398,1
7.148918608648,0
7.148962777281,0
7.149366744686,0
7.149636697255,0
7.149868968396,0
7.150137311362,0.00000247289941202
7.150958682099,0
7.151108682097,0
7.151550641775,1
7.151767517124,0
7.151973460922,0
7.152197846527,0.000000010708777864
7.152397444027,1
7.152892904107,0
7.15324063489,0
7.153654669226,0
7.154103331216,0
7.154451530748,0.000001543089304334
7.154669975309,1
7.154851490707,0.000000000003884892
7.154947490704,0
7.155128546985,1
7.156198446137,0
7.156288876453,0.000000000119280585
7.156579912305,0
7.157052747125,0
7.158036147613,0
7.158683649778,0
7.159843678955,0
7.160259790775,0
7.162117353823,0
7.162558552292,0.004130260524023298
7.163848955875,0.000000000001342925
7.165519518178,0
7.166837744485,0.000000071768924692
7.168832306119,0
7.168969867725,0
7.169434508579,0
7.170443069923,0.000000110728060831
7.170803542007,0
7.170953710675,0
7.171287271831,0
7.171518271808,0
7.172001271759,0
7.175108743403,0
7.181628773856,0
7.181910302449,0
7.183152302323,0
7.184314860831,0
7.184645860799,0
7.193092528439,0
7.193507417539,0
7.197758526569,0
7.199392526321,0
7.199436695003,0
7.199609165157,0
7.20101780379,0
7.201061972482,0
7.201438972466,1
7.20276444233,0
7.202808611014,0
7.203025249631,0
7.204089080787,0.000000003455899566
7.204738635173,0.97742043027685987
7.205242189458,0
7.206369743516,0
7.207462213154,0
7.207892381835,0
7.20846593553,0
7.209797489033,0.000001050149950554
7.21072348894,0.000000000557314194
7.212273041932,0
7.226556335551,0
7.23006333521,0.000000000054604321
7.231121335103,0
7.232863334928,0.000000294985162296
7.234115883391,0
7.238795898809,0.000000000214868123
7.243616067092,0
7.245897534029,0
7.250416079327,0
7.250597714752,0
7.253396620526,0
7.253613255747,0
7.254466255662,0.00003189199761433
7.256735890567,0
7.257755356706,0
7.258899900177,0
7.259154443597,0
7.265418986376,1
7.26654545188,0
7.266796620625,0
7.275723627182,0.000000000012661871
7.277208091941,0
7.277933260647,0.000000000038776981
7.278695265017,1
7.279901165414,0
7.281119629932,1
7.28176879867,0.000000000021486812
7.283017798544,0
7.289134262145,0
7.291069063529,0
7.291586160144,0
7.292559696118,0
7.293004232782,1
7.295683232513,0
7.296645232416,1
7.298176864594,0
7.300411864292,0
7.301094864246,0
7.303676862073,0
7.303721030859,0
7.304302861989,0.000000354826731996
7.304347030776,0
7.304700662581,0
7.307566293935,0
7.307782925542,0
7.308629925428,0
7.311519925042,0
7.311812387577,0.000000000006043165
7.312863387436,0
7.315165387126,0.000007612311524685
7.317069555747,0
7.320310087203,0.000000000001342925
7.320883618267,0
7.32159741063,0
7.321679642407,1
7.323208041175,0
7.323864041109,0
7.325771040918,0
7.329797662634,0
7.330098123949,0
7.331515753835,0
7.331559922645,0
7.334202922401,0.999999999840619931
7.335424922278,0.000001068035015538
7.336337383119,0
7.336773922143,0.000000009581775373
7.336991449935,0.000000000011870504
7.339889977424,0
7.340811606811,0
7.344874066869,0.000000004383381657
7.345446066792,0.000000000016618706
7.346965606215,0
7.347412606161,0
7.348690864194,0
7.349115493038,0
7.349287953062,0
7.352453121567,0.000000016911464117
7.353553646123,0
7.356574105422,0
7.356618274252,0
7.357119274215,0
7.360251104928,0
7.360987104831,0
7.361246273679,0
7.363361901465,0
7.363698360525,0
7.366142529033,0
7.366789528946,0
7.367437360023,0
7.368560528781,0
7.369526050128,0
7.374616049618,0
7.375072569792,0.000000056795614766
7.375762196864,0
7.375978823951,0
7.376522909208,0
7.376771450977,0
7.377817704952,0
7.378221704911,1
7.379130162868,0
7.379174331717,0
7.380023958528,1
7.382120585056,0
7.383596211474,0
7.38421904253,0.000000180122229798
7.384263211385,0
7.385574295453,0
7.386158295375,0.000000183708199985
7.390366463666,0
7.397079463015,0
7.398756545206,0
7.39913271406,1
7.400619339431,0
7.401701795891,0
7.401745964759,0
7.402073421257,0
7.403292964625,0
7.406211420618,0
7.40625558948,0
7.406801214515,0
7.407783839459,0
7.408000464437,0
7.40828529552,0.000000012531296
7.409094089239,0
7.410145920219,0
7.410990920106,0
7.413959088764,0.000007370107215298
7.420472511296,0.0000000000023741
7.423830510847,0.000000163779713457
7.426399679397,0
7.428580133939,0.000000090096334726
7.430265757284,0.000000136510794002
7.43139092603,0
7.432356380474,0
7.436141379891,0
7.438056548528,0
7.438229002623,0.000000000973381375
7.439274002483,0
7.43931817138,0
7.44251500205,0
7.445437170751,0
7.446566246709,0
7.448228415388,0
7.448939415338,0
7.450095490738,0.000000001669640425
7.450139659643,0
7.454558112383,0.000000055653528452
7.45570852497,0
7.459239389805,0
7.459470220855,0.000000000041151082
7.463902841788,0.000000000000791366
7.465883462862,0
7.46592763177,0
7.466665462758,0
7.467248631595,0
7.467885083696,0.000003830561758677
7.467929252615,0
7.468580704671,0
7.471667325112,0
7.472386325016,0
7.472430493929,0
7.484180564945,0
7.484224733867,0
7.485679184683,0.000000000001582733
7.485723353615,0
7.486028353606,0.916168014658010005
7.486831973376,0
7.488031212873,0
7.488850043833,0
7.489110832429,0
7.490053691295,0
7.490792691197,0
7.492629690954,0
