"endToEndDelay:vector manet ($rateControl="""", #0 - Dynamic-0-20220518-10:59:00-12456)",
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.819054146152,4.81039781363999983
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
5.889815299453,4.38198358471199965
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.316260583417,3.275105540674999805
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.399035024071,2.871613841824999887
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.595655200066,2.55268939804599969
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.671204291363,2.147668428945999956
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.835108118757,1.81937038836099995
6.897596840975,1.37953961451000006
6.897596840975,1.37953961451000006
