"packetSent:vector(packetBytes) manet.host[0].udp ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0.103713784656,10008
0.208656332512,10008
0.297562649828,10008
0.392342237579,10008
0.474546528757,10008
0.590994415153,10008
0.706392490994,10008
0.822283574072,10008
0.915571209601,10008
1.024088283758,10008
1.121166020277,10008
1.23601012146,10008
1.342713853707,10008
1.430422572586,10008
1.547146250521,10008
1.650333486124,10008
1.74856942363,10008
1.854263493641,10008
1.944424502783,10008
2.046467668701,10008
2.131743798617,10008
2.211898212729,10008
2.2990414114,10008
2.40355608166,10008
2.486810865559,10008
2.602086725587,10008
2.710871531747,10008
2.829527130507,10008
2.929832552325,10008
3.021848699505,10008
3.123828722461,10008
3.215591788952,10008
3.295839925696,10008
3.376211303537,10008
3.477494999905,10008
3.595206176442,10008
3.700978121347,10008
3.809550115261,10008
3.909304734776,10008
4.012580292523,10008
4.097634993512,10008
4.212707818271,10008
4.323139523574,10008
4.443067481768,10008
4.534976399493,10008
4.624057110295,10008
4.709063576551,10008
4.82763196673,10008
4.938867374116,10008
5.025520358502,10008
5.127627817222,10008
5.224178545491,10008
5.310237985595,10008
5.39672090477,10008
5.515259704633,10008
5.607458271884,10008
5.725115843449,10008
5.808140270427,10008
5.906572392179,10008
5.991757154098,10008
6.071948649302,10008
6.174099292202,10008
6.258655056214,10008
6.367536037672,10008
6.475460692566,10008
6.562514008895,10008
6.680183694508,10008
6.789025430825,10008
6.880944241319,10008
6.989313592022,10008
7.0985908029,10008
7.192279856238,10008
7.278787517301,10008
7.374407797144,10008
7.466654312029,10008
7.547857949608,10008
7.630550195132,10008
7.738690507444,10008
7.82205052393,10008
7.937042259178,10008
8.022037972114,10008
8.140499884305,10008
8.259084364274,10008
8.345598088322,10008
8.455219422407,10008
8.566663470953,10008
8.657251313818,10008
8.769098138516,10008
8.881084532864,10008
8.980257920432,10008
9.077616189006,10008
9.159043297586,10008
9.246991186817,10008
9.348210952864,10008
9.440075143273,10008
9.547378848721,10008
9.661042638882,10008
9.753201185507,10008
9.844041253743,10008
9.94673467808,10008
10.061836852176,10008
10.178806353208,10008
10.28363307607,10008
10.380922114603,10008
10.486511778176,10008
10.599809911164,10008
10.698801195702,10008
10.806016536463,10008
10.904559552377,10008
10.994495392298,10008
11.078643783495,10008
11.163615015015,10008
11.272914822396,10008
11.359655609369,10008
11.465617305856,10008
11.569046162624,10008
11.686151382016,10008
11.800724816086,10008
11.909998639083,10008
12.001400330119,10008
12.082949999027,10008
12.188090801301,10008
12.272591214316,10008
12.377437786754,10008
12.46207105327,10008
12.552226922787,10008
12.668861037395,10008
12.771512096222,10008
12.856244432428,10008
12.956769406288,10008
13.039945180095,10008
13.127129472443,10008
13.225888599553,10008
13.343158294516,10008
13.436747499988,10008
13.555478900107,10008
13.638317242576,10008
13.735989286615,10008
13.84126746098,10008
13.922224104483,10008
14.018859406844,10008
14.128620610753,10008
14.236478269039,10008
14.336410763929,10008
14.424342659157,10008
14.524300106563,10008
14.629332346985,10008
14.724178862715,10008
14.829973050434,10008
14.926800219159,10008
15.037118924869,10008
15.154980842484,10008
15.248173513798,10008
15.34526065933,10008
15.444405044917,10008
15.554353563081,10008
15.673416596217,10008
15.766165822282,10008
15.854856300013,10008
15.974616238078,10008
