"endToEndDelay:vector manet.host[1].app[0] ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.377817704952,7.080255055123998875
7.552711124058,7.160368886478998685
7.667188010958,7.192641482200999155
7.723141640996,7.132147225842999175
7.961618746879,7.046047537277999565
7.993555959355,6.96946767559700039
8.118584949067,6.997418928789999235
8.191790402008,6.84907654830099941
8.277153314999,6.730007064478000315
8.343394661317,6.5948252376869991
8.380744932079,6.52648143843799919
8.61687600438,6.570408335678999705
8.665005082609,1.386217565307999771
9.736915184605,2.362507387461000077
9.872931953117,2.406277641087999787
10.675440661832,2.653402689717999852
10.709298662712,2.568798778406999432
11.07449374641,2.507830275456999647
11.347067488703,2.577969350186999787
11.503666930217,2.52340900978499948
11.55343557108,2.475819382073999532
11.800222367191,2.553231180373999532
13.09271232438,2.91390597117199944
13.445865443622,2.84605553245800012
13.602750299583,2.79673376311999976
13.719625620089,2.8150660677119994
14.086797929423,2.923182914407999695
14.419686632313,2.954069326456999695
14.517974804502,2.948928641878000065
23.134977244113,1.067433924862999813
23.321692584016,1.066820737251999767
23.634429408387,1.11743668074699975
23.823186229599,1.116827743267999823
23.981817757299,1.170848729076999988
24.216171512871,1.210421533562999747
24.549419541786,1.268228640395999913
24.92522434972,1.352025013470000031
25.019731902083,1.333151408985999703
25.49686407051,1.309547096031999918
25.686704200603,1.301779503944999745
26.117277340932,1.334468862930000106
26.236782868975,1.366066759845999895
27.102352477377,1.823084051326999681
28.504859415614,1.054486167069999863
28.519250246545,2.060039013321000025
28.932564465824,0.808705137082999844
29.48730562613,0.324097669128999953
29.53071392204,0.810109315627999922
29.640547638897,0.802836837783999832
29.820080645187,0.86679681503099992
30.092493121926,0.658217013899999868
30.160919997558,0.610658307592000013
30.333501773654,0.589470135662000014
30.447870619916,0.615525774632999841
30.512474434738,0.579644193647000036
30.822716890238,0.630024410959999944
31.031058865396,0.347050482127999935
31.092507899014,0.295275875897999971
31.170488616934,0.796155324024999885
31.234935969973,0.745229786793
31.326289833255,0.316775687029999918
31.739144525704,0.551019198846000032
31.853441514565,0.58187519965300005
32.190398370977,0.714648168449999895
32.802216427324,0.835800978873999953
32.925873547731,0.456425892080999926
32.971195710148,0.105277322106999998
33.390813135707,1.099883090394000004
33.601962630526,1.030398427713999695
33.735409890335,1.063472148110999878
33.826202416084,1.065281144734000037
34.918171988481,1.197535694022999747
35.673663209179,1.53243982916099996
36.183655205964,1.6620195032449998
36.416135755696,1.70678321797600007
36.817239217115,1.824117820717999985
42.880432535707,5.36555324245999896
43.212155040715,5.405785355072000065
44.497703070989,2.298063481144000157
44.586807445755,2.287240498083999531
44.708867455503,2.326065279024999367
45.538624720308,2.223868770564999753
46.313838519164,1.792479921491999743
46.686984512899,2.061941892911999468
46.777597532931,2.065019368300999847
47.043272178529,1.707792416111999938
48.019815954307,1.694555406661999876
48.111606839354,1.575086171743000022
48.47938930587,1.611083449374000047
48.638947238119,1.544563688684999818
48.71752037272,1.54290053111200009
49.193303988157,1.720352672948000087
49.79872214887,0.715219563795999931
50.599278845634,1.401046323030999732
50.714533824568,1.398252891297999672
51.001101843101,0.964467005668000026
