"powerConsumption:vector manet.host[0].energyStorage ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-13:24:00-21284)",
0,0
0,0
0,0
0,0
0,0.004
0.110172725807,0
0.110172725807,0
0.110172725807,0.004
0.110172725807,0
0.110172725807,0.20000000000000001
0.110214725807,0.004
0.110214725807,0.004
0.110214725807,0
0.110214725807,0.004
0.110214725807,0.004
0.119412887941,0
0.119412887941,0.019999999999999996
0.119454887941,0.004
0.119454887941,0.004
0.119478662739,0
0.119478662739,0.019999999999999996
0.119520662739,0.004
0.119520662739,0.004
0.121624488356,0
0.121624488356,0
0.121624488356,0.004
0.121624488356,0
0.121624488356,0.20000000000000001
0.121666488356,0.004
0.121666488356,0.004
0.121666488356,0
0.121666488356,0.004
0.121666488356,0.004
0.12308875236,0
0.12308875236,0.019999999999999996
0.12313475236,0.004
0.12313475236,0.004
0.12363970656,0
0.12363970656,0.019999999999999996
0.12368170656,0.004
0.12368170656,0.004
0.12472029614,0
0.12472029614,0.019999999999999996
0.12476629614,0.004
0.12476629614,0.004
0.124846475733,0
0.124846475733,0.019999999999999996
0.124892475733,0.004
0.124892475733,0.004
0.125084407739,0
0.125084407739,0
0.125084407739,0.004
0.125084407739,0
0.125084407739,0.20000000000000001
0.125130407739,0.004
0.125130407739,0.004
0.125130407739,0
0.125130407739,0.004
0.125130407739,0.004
0.125643275915,0
0.125643275915,0.019999999999999996
0.125689275915,0.004
0.125689275915,0.004
0.126059432809,0
0.126059432809,0.019999999999999996
0.126105432809,0.004
0.126105432809,0.004
0.126116322841,0
0.126116322841,0.019999999999999996
0.126162322841,0.004
0.126162322841,0.004
0.127528418099,0
0.127528418099,0.019999999999999996
0.127574418099,0.004
0.127574418099,0.004
0.128175266487,0
0.128175266487,0.019999999999999996
0.128221266487,0.004
0.128221266487,0.004
0.128248903596,0
0.128248903596,0.019999999999999996
0.128294903596,0.004
0.128294903596,0.004
0.128528619253,0
0.128528619253,0.019999999999999996
0.128574619253,0.004
0.128574619253,0.004
0.128892368694,0
0.128892368694,0
0.128892368694,0.004
0.128892368694,0
0.128892368694,0.20000000000000001
0.128938368694,0.004
0.128938368694,0.004
0.128938368694,0
0.128938368694,0.004
0.128938368694,0.004
0.129724338003,0
0.129724338003,0.019999999999999996
0.129770338003,0.009999999999999998
0.129770338003,0.009999999999999998
0.12977659443,0.004
0.130175490278,0.009999999999999998
0.13022128104,0.004
0.130350705183,0
0.130350705183,0
0.130350705183,0.004
0.130350705183,0
0.130350705183,0.20000000000000001
0.130396705183,0.004
0.130396705183,0.004
0.130396705183,0
0.130396705183,0.004
0.130396705183,0.004
0.130459458661,0
0.130459458661,0.019999999999999996
