"packetReceived:vector(packetBytes) manet.host[1].udp ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.377817704952,10008
7.552711124058,10008
7.667188010958,10008
7.723141640996,10008
7.961618746879,10008
7.993555959355,10008
8.118584949067,10008
8.191790402008,10008
8.277153314999,10008
8.343394661317,10008
8.380744932079,10008
8.61687600438,10008
8.665005082609,10008
9.736915184605,10008
9.872931953117,10008
10.675440661832,10008
10.709298662712,10008
11.07449374641,10008
11.347067488703,10008
11.503666930217,10008
11.55343557108,10008
11.800222367191,10008
13.09271232438,10008
13.445865443622,10008
13.602750299583,10008
13.719625620089,10008
14.086797929423,10008
14.419686632313,10008
14.517974804502,10008
23.134977244113,10008
23.321692584016,10008
23.634429408387,10008
23.823186229599,10008
23.981817757299,10008
24.216171512871,10008
24.549419541786,10008
24.92522434972,10008
25.019731902083,10008
25.49686407051,10008
25.686704200603,10008
26.117277340932,10008
26.236782868975,10008
27.102352477377,10008
28.504859415614,10008
28.519250246545,10008
28.932564465824,10008
29.48730562613,10008
29.53071392204,10008
29.640547638897,10008
29.820080645187,10008
30.092493121926,10008
30.160919997558,10008
30.333501773654,10008
30.447870619916,10008
30.512474434738,10008
30.822716890238,10008
31.031058865396,10008
31.092507899014,10008
31.170488616934,10008
31.234935969973,10008
31.326289833255,10008
31.739144525704,10008
31.853441514565,10008
32.190398370977,10008
32.802216427324,10008
32.925873547731,10008
32.971195710148,10008
33.390813135707,10008
33.601962630526,10008
33.735409890335,10008
33.826202416084,10008
34.918171988481,10008
35.673663209179,10008
36.183655205964,10008
36.416135755696,10008
36.817239217115,10008
42.880432535707,10008
43.212155040715,10008
44.497703070989,10008
44.586807445755,10008
44.708867455503,10008
45.538624720308,10008
46.313838519164,10008
46.686984512899,10008
46.777597532931,10008
47.043272178529,10008
48.019815954307,10008
48.111606839354,10008
48.47938930587,10008
48.638947238119,10008
48.71752037272,10008
49.193303988157,10008
49.79872214887,10008
50.599278845634,10008
50.714533824568,10008
51.001101843101,10008
